음식점 이름,음식점 주소,전화번호,태그,특징,상세페이지 주소,좌표,lat,lon,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,img,주차시설,가성비,반려동물동반,위생,로컬 맛집,조용한,좋은 분위기,오션뷰,뷰가 좋은,theme,리뷰,id
봄날카페,제주특별자치도 제주시 애월읍 애월로1길 25,0507-1494-4999,"데이트, 차모임","예쁜, 오션뷰, 테라스, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=ksZ8j8MQX5o1,"{'lat': '33.4625070040388', 'lng': '126.30958807087'}",33.462507,126.3095881,9:00,21:30,9:00,21:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/88f3b319-b8d8-4618-bc75-7202ba68a578.jpg,True,False,False,False,False,False,False,True,True,"#카페 #커피 #음료
#음식 #콜드브루 #아메리카노 #바닐라라떼 #카페라떼 #아인슈페너 #카푸치노 #카페모카 #카라멜마끼아또 #아이스티 #헤이즐넛라떼 #콜드브루라떼 #차 #녹차 #레몬차 #자몽차 #밀크티 #복숭아아이스티 #핫초코 #아이스초코 #녹차라떼 #고구마라떼 #라떼 #에이드 #레몬에이드 #자몽에이드 #아이스크림 #초코아이스크림 #모히또 #케이크 #티라미수",115.9,0
서연의집,제주특별자치도 서귀포시 남원읍 위미해안로 86,064-764-7894,"건축학개론, 데이트, 차모임","예쁜, 경관/야경이좋은, 무료주차",https://www.diningcode.com/profile.php?rid=L1O1NBqD815h,"{'lat': '33.2694324178633', 'lng': '126.655567630404'}",33.26943242,126.6555676,10:00,19:00,10:00,19:00,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/743dbc0b-85bf-47f5-bd58-b7228e6917f3.jpg,True,False,False,False,False,False,False,False,True,"#카페 #커피 #아메리카노
#음식 #디저트 #빵 #와플 #에스프레소 #카페모카 #한류 #k-movie #드라마영화촬영지 #에스프레소콘파냐 #에스프레소더블 #카푸치노 #카페라떼 #바닐라라떼 #카라멜라떼 #아포가토 #에이드 #자몽에이드 #차 #자몽차 #라떼 #말차라떼 #쉐이크 #밀크쉐이크 #꽃차 #허브티 #캐모마일 #페퍼민트 #케이크 #머핀",99.9,1
몽상드애월,제주특별자치도 제주시 애월읍 애월북서길 56-1,010-4419-3431,"지디카페, 차모임, 데이트","경관/야경이좋은, 오션뷰, 테라스, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=pDwoJY59I0VY,"{'lat': '33.4629252295724', 'lng': '126.309244734174'}",33.46292523,126.3092447,11:00,19:30,11:00,19:30, https://api.cdn.visitjeju.net/photomng/thumbnailpath/201909/30/b1d99bae-68fe-406a-8871-2bb99f3f968a.jpg,True,False,False,False,False,False,False,True,True,"#카페 #커피 #음료
#디저트 #음식 #아메리카노 #에스프레소 #카페모카 #카라멜마끼아또 #밀크티 #에이드 #2022고메페스타 #카푸치노 #카페라떼 #바닐라라떼 #돌체라떼 #딸기라떼 #초코라떼 #자몽에이드 #라떼 #차 #홍차 #캐모마일 #레몬그라스 #루이보스 #페퍼민트 #허브티 #레몬생강차 #케이크 #치즈케이크",90.0,2
리치망고본점,제주특별자치도 제주시 애월읍 애월해안로 272,070-4243-5959,"간식, 데이트","캐주얼한, 오션뷰, 테이크아웃, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=rEMzDwaqqmpS,"{'lat': '33.4685292780823', 'lng': '126.340190598564'}",33.46852928,126.3401906,10:00,18:30,10:00,18:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/97bd08a9-93ce-43c6-9758-36dff639848a.jpg,True,False,True,False,False,False,True,True,False,"#스페셜망고쉐이크 #망고라떼 #수제망고코코넛잽
#망고코코넛쿠키 #카페 #망고 #음식 #망고스무디 #망고에이드 #망고주스 #무장애관광",109.1,3
카페공작소,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,010-9524-0612,"혼카페, 데이트","예쁜, 오션뷰, 정원, 야외자리, 무료주차",https://www.diningcode.com/profile.php?rid=kKPtAaK6GbVm,"{'lat': '33.5246408594197', 'lng': '126.859876681647'}",33.52464086,126.8598767,8:00,19:30,8:00,19:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c321f139-2382-43fe-9cd4-78c109501c50.jpg,True,False,False,False,False,False,False,True,True,"#카페 #수제케이크 #에이드
#제주음료 #음식 #아메리카노 #카페라떼 #감귤 #주스 #청귤차 #에스프레소 #케이크 #바닐라라떼 #차 #캐모마일 #레몬그라스 #허브티 #얼그레이 #라떼 #루이보스",96.1,4
하하호호,제주특별자치도 제주시 우도면 우도해안길 532,0507-1344-1365,"데이트, 간식","캐주얼한, 오션뷰, 아침식사, 점심식사, 바다가보이는, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=FuooLDYjv1Zw,"{'lat': '33.5208920600193', 'lng': '126.948561908952'}",33.52089206,126.9485619,11:00,18:00,11:00,18:00, https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0bd06c2c-900d-4189-a4b4-61e6c568af6c.png,True,False,True,False,False,False,True,True,False,"#흑돼지수제버거 #수제버거 #땅콩아이스크림
#음식 #햄버거 #아메리카노 #감자튀김 #에이드 #레몬에이드 #아이스크림 #갈릭불고기버거 #새우버거 #젤라또 #쉐이크 #블루베리레몬에이드 #아이스티 #복숭아아이스티 #레몬아이스티 #차 #꿀차 #카페라떼 #바닐라라떼",142.3,5
우유부단,제주특별자치도 제주시 한림읍 금악동길 38,064-796-2033,"간식, 데이트","경관/야경이좋은, 예약, 야외좌석, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=mEo4pIaFP5QE,"{'lat': '33.3476232358794', 'lng': '126.328063119097'}",33.34762324,126.3280631,10:00,18:00,10:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/19b30440-f6bb-4978-a861-6f3e85620083.jpg,True,False,True,False,False,False,False,False,True,"#카페 #디저트 #아이스크림
#우유 #음식 #눈꽃우유빙수 #밀크티 #얼그레이 #녹차 #카페라떼 #쉐이크 #밀크쉐이크 #아메리카노 #홍차 #허브티 #캐모마일",117.0,6
델문도,제주특별자치도 제주시 조천읍 조함해안로 519-10,064-702-0007,"1박2일맛집, 데이트, 차모임","경관/야경이좋은, 오션뷰, 아침식사, 점심식사, 테라스, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=kONf0SdtqMK6,"{'lat': '33.5437022656737', 'lng': '126.668709879591'}",33.54370227,126.6687099,7:00,0:00,7:00,0:00,https://api.cdn.visitjeju.net/photomng/imgpath/202407/23/99056257-5323-4c6d-ae20-86110a18f027.jfif,True,False,False,False,False,False,False,True,True,"#제주도 #제주여행 #제주카페
#제주동쪽가볼만한곳 #제주오션뷰 #오션뷰 #제주인생샷 #제주커피 #제주빵맛집",144.7,7
테라로사,제주특별자치도 서귀포시 칠십리로658번길 27-16,1668-2764,"차모임, 데이트","예쁜, 고급스러운, 아침식사, 저녁식사, 테라스, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=gjNbcMLr40db,"{'lat': '33.2494683905985', 'lng': '126.618794941759'}",33.24946839,126.6187949,9:00,21:00,9:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202407/23/d7731f03-58bc-4b77-a2c0-c83d3aad7116.jfif,True,False,False,False,False,False,True,False,True,"#커피 #테라로사 #제주카페
#드립커피 #서귀포카페 #제주커피 #제주카페투어 #카페투어",116.2,8
마노르블랑,서귀포시 안덕면 일주서로2100번길 46,0507-1339-1049,"데이트, 차모임","예쁜, 경관/야경이좋은, 아침식사, 정원, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=c6oVewsrL04L,"{'lat': '33.2548236387556', 'lng': '126.294986562216'}",33.25482364,126.2949866,9:00,18:30,9:00,18:30,https://api.cdn.visitjeju.net/photomng/imgpath/202406/20/13f2b06d-6a62-4666-a340-c7769309020b.jpg,True,False,True,False,False,False,False,False,True,"#카페 #꽃 #정원
#수국축제 #장미정원 #정원카페 #애견동반카페 #제주도수국 #수국",90.7,9
